ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
BP	GO:0034694	response to prostaglandin	21	0.595162298509004	1.69440425171876	0.0078629922280275	0.0442952749075703	0.0322479200338979	2260	tags=43%, list=12%, signal=38%	ENSG00000108819/ENSG00000196139/ENSG00000126353/ENSG00000087460/ENSG00000142208/ENSG00000132356/ENSG00000186469/ENSG00000147437/ENSG00000078369
BP	GO:0035082	axoneme assembly	70	0.409943679247772	1.53052397556878	0.00787315849749978	0.0443171483502522	0.032263844374179	5903	tags=53%, list=32%, signal=36%	ENSG00000103351/ENSG00000048342/ENSG00000129295/ENSG00000141013/ENSG00000119661/ENSG00000214021/ENSG00000105479/ENSG00000004838/ENSG00000167646/ENSG00000141519/ENSG00000160345/ENSG00000198718/ENSG00000206530/ENSG00000010626/ENSG00000163482/ENSG00000141577/ENSG00000114841/ENSG00000141933/ENSG00000152763/ENSG00000159625/ENSG00000122735/ENSG00000181378/ENSG00000187726/ENSG00000105792/ENSG00000135205/ENSG00000162643/ENSG00000120051/ENSG00000160188/ENSG00000109944/ENSG00000141294/ENSG00000111834/ENSG00000100271/ENSG00000165698/ENSG00000198003/ENSG00000139537/ENSG00000183644/ENSG00000165506
BP	GO:0032945	negative regulation of mononuclear cell proliferation	58	0.434362908345134	1.59062614651301	0.00788375484445363	0.044341405835671	0.032281504349236	1668	tags=28%, list=9%, signal=25%	ENSG00000168961/ENSG00000111679/ENSG00000168918/ENSG00000160685/ENSG00000197471/ENSG00000123143/ENSG00000204592/ENSG00000105329/ENSG00000108946/ENSG00000135870/ENSG00000104894/ENSG00000157873/ENSG00000162511/ENSG00000121210/ENSG00000171867/ENSG00000147437
BP	GO:0014029	neural crest formation	10	-0.755997755882705	-1.63852330167588	0.00798013235555189	0.04476723014752	0.0325915136760919	1271	tags=40%, list=7%, signal=37%	ENSG00000162517/ENSG00000010361/ENSG00000070814/ENSG00000166197
BP	GO:0051048	negative regulation of secretion	100	0.374500679207051	1.48544975374947	0.00797799478892068	0.04476723014752	0.0325915136760919	2988	tags=29%, list=16%, signal=24%	ENSG00000167470/ENSG00000175567/ENSG00000114353/ENSG00000135046/ENSG00000168961/ENSG00000067182/ENSG00000186716/ENSG00000049245/ENSG00000066294/ENSG00000123338/ENSG00000119541/ENSG00000084093/ENSG00000099625/ENSG00000183044/ENSG00000134548/ENSG00000134321/ENSG00000164885/ENSG00000157764/ENSG00000186115/ENSG00000132718/ENSG00000164253/ENSG00000156675/ENSG00000232810/ENSG00000204681/ENSG00000054793/ENSG00000141959/ENSG00000079385/ENSG00000060237/ENSG00000069696
BP	GO:0046879	hormone secretion	201	0.301067483587699	1.31697419708974	0.00798485403737135	0.04476723014752	0.0325915136760919	2392	tags=21%, list=13%, signal=19%	ENSG00000167470/ENSG00000124766/ENSG00000175567/ENSG00000103496/ENSG00000107485/ENSG00000135046/ENSG00000117139/ENSG00000114739/ENSG00000090006/ENSG00000126368/ENSG00000112033/ENSG00000087460/ENSG00000105649/ENSG00000205726/ENSG00000108946/ENSG00000084093/ENSG00000166501/ENSG00000149577/ENSG00000166128/ENSG00000120451/ENSG00000169992/ENSG00000182621/ENSG00000183044/ENSG00000143420/ENSG00000010310/ENSG00000080298/ENSG00000110719/ENSG00000184381/ENSG00000150995/ENSG00000114520/ENSG00000147100/ENSG00000077463/ENSG00000276045/ENSG00000134852/ENSG00000172375/ENSG00000088256/ENSG00000156675/ENSG00000232810/ENSG00000102225/ENSG00000100644/ENSG00000204681/ENSG00000162337/ENSG00000110090
BP	GO:0099537	trans-synaptic signaling	466	0.264343826763833	1.24234872807741	0.00796918270686865	0.04476723014752	0.0325915136760919	2731	tags=23%, list=15%, signal=20%	ENSG00000139182/ENSG00000169220/ENSG00000103496/ENSG00000080845/ENSG00000166342/ENSG00000114353/ENSG00000171862/ENSG00000129990/ENSG00000164506/ENSG00000161681/ENSG00000150093/ENSG00000140199/ENSG00000108518/ENSG00000104133/ENSG00000196358/ENSG00000186716/ENSG00000129245/ENSG00000168297/ENSG00000138814/ENSG00000168610/ENSG00000120899/ENSG00000169895/ENSG00000159082/ENSG00000130703/ENSG00000081189/ENSG00000108523/ENSG00000005379/ENSG00000008282/ENSG00000204305/ENSG00000117676/ENSG00000105649/ENSG00000011132/ENSG00000131558/ENSG00000136854/ENSG00000158109/ENSG00000054523/ENSG00000197283/ENSG00000141503/ENSG00000105737/ENSG00000142208/ENSG00000167535/ENSG00000158828/ENSG00000132294/ENSG00000162736/ENSG00000169057/ENSG00000159842/ENSG00000094631/ENSG00000138592/ENSG00000135679/ENSG00000166501/ENSG00000104936/ENSG00000107864/ENSG00000160014/ENSG00000169992/ENSG00000127914/ENSG00000186111/ENSG00000198400/ENSG00000251322/ENSG00000182621/ENSG00000111886/ENSG00000121289/ENSG00000166900/ENSG00000183044/ENSG00000105402/ENSG00000083937/ENSG00000148730/ENSG00000101152/ENSG00000186868/ENSG00000128829/ENSG00000147044/ENSG00000171867/ENSG00000164885/ENSG00000157764/ENSG00000170296/ENSG00000198668/ENSG00000101298/ENSG00000100321/ENSG00000132718/ENSG00000101126/ENSG00000113504/ENSG00000163812/ENSG00000003393/ENSG00000101938/ENSG00000161011/ENSG00000036530/ENSG00000232810/ENSG00000118058/ENSG00000113758/ENSG00000114416/ENSG00000185482/ENSG00000204681/ENSG00000165917/ENSG00000170175/ENSG00000071242/ENSG00000135317/ENSG00000126583/ENSG00000109103/ENSG00000115896/ENSG00000175471/ENSG00000083454/ENSG00000196689/ENSG00000115310/ENSG00000070018/ENSG00000177380/ENSG00000182197/ENSG00000131759/ENSG00000109189/ENSG00000196338/ENSG00000176248
BP	GO:2000696	regulation of epithelial cell differentiation involved in kidney development	10	0.727968180741314	1.68667044760951	0.00799527504824972	0.044790051561005	0.0326081281596606	2849	tags=50%, list=16%, signal=42%	ENSG00000115415/ENSG00000107485/ENSG00000183943/ENSG00000168036/ENSG00000018408
BP	GO:0045229	external encapsulating structure organization	173	0.320750174181186	1.36474207180985	0.00806162830965909	0.0451259241809727	0.032852650705528	2690	tags=24%, list=15%, signal=20%	ENSG00000163346/ENSG00000075618/ENSG00000067182/ENSG00000140564/ENSG00000105290/ENSG00000116260/ENSG00000149084/ENSG00000150093/ENSG00000105993/ENSG00000143387/ENSG00000090006/ENSG00000117385/ENSG00000168610/ENSG00000107036/ENSG00000081148/ENSG00000077150/ENSG00000163297/ENSG00000105329/ENSG00000182718/ENSG00000168487/ENSG00000101439/ENSG00000086619/ENSG00000130508/ENSG00000074054/ENSG00000151445/ENSG00000166949/ENSG00000104884/ENSG00000106397/ENSG00000184937/ENSG00000141098/ENSG00000142156/ENSG00000232810/ENSG00000107742/ENSG00000137845/ENSG00000168477/ENSG00000123384/ENSG00000066056/ENSG00000197930/ENSG00000069399/ENSG00000182197/ENSG00000160588
BP	GO:0006120	mitochondrial electron transport, NADH to ubiquinone	49	0.462675215131434	1.62667861249515	0.00808354593575889	0.0452127275851764	0.0329158454648623	2025	tags=24%, list=11%, signal=22%	ENSG00000198886/ENSG00000198840/ENSG00000198888/ENSG00000212907/ENSG00000198763/ENSG00000198786/ENSG00000158864/ENSG00000158828/ENSG00000170906/ENSG00000136003/ENSG00000125356/ENSG00000140990
