logFC	AveExpr	t	P.Value	adj.P.Val	B	gene
-2.51258763070461	7.97186278753518	-68.6144138668796	9.4122373785296e-21	1.38218582820062e-16	37.5609300854103	ENSG00000064886
-2.05018279650645	10.3115898761757	-65.060460365476	2.14897855933395e-20	1.38218582820062e-16	37.047887804967	ENSG00000196262
-2.31312794015038	8.2589957186788	-64.2275846126396	2.62463454253476e-20	1.38218582820062e-16	36.7050277475562	ENSG00000128322
2.56286893187275	7.22233509310089	63.6208699386426	3.0411129333347e-20	1.38218582820062e-16	36.3072646609935	ENSG00000171243
-1.97294679038264	9.03895962752848	-58.3306309035863	1.16917730740447e-19	4.25112868972265e-16	35.3882885407593	ENSG00000144381
-2.63774384225914	6.93994578399587	-57.1475130053692	1.60644537656111e-19	4.86752949098016e-16	34.7592903519156	ENSG00000167034
2.77344670856913	6.26917816753283	54.9550974524411	2.94589512871025e-19	7.65091049142177e-16	33.8954734297161	ENSG00000100097
1.56291028631472	9.68999642793429	49.7732411815541	1.36609653797943e-18	2.75951500671845e-15	33.0296192597847	ENSG00000078596
2.04736214920536	7.03872417717029	47.4111979177137	2.89921698844516e-18	4.95553412537259e-15	32.162255687113	ENSG00000076864
-1.82341058665822	7.10765557823567	-46.8322822800813	3.50613540358683e-18	5.31179513643405e-15	32.0034617700901	ENSG00000143612
-1.61555012875705	9.14553131357794	-46.0289500233776	4.58205093089832e-18	6.40782199413319e-15	31.8290727323849	ENSG00000196839
-1.61692023652696	7.78140679974062	-45.3288471674972	5.80762534342785e-18	7.16664114975235e-15	31.5686738998871	ENSG00000135069
-1.60070316878336	7.83403789467788	-45.1994900464439	6.07001678747769e-18	7.16664114975235e-15	31.5277173158791	ENSG00000065911
-3.99141167493007	5.38976501839006	-50.4176171207273	1.1194070176054e-18	2.54385244750827e-15	31.4701703059337	ENSG00000167005
-1.93736749829709	7.10757470986339	-44.6783491049149	7.26203263226066e-18	7.76610313261757e-15	31.3034330102646	ENSG00000128918
-1.34842025187741	9.55394457179315	-43.9765254660009	9.27577455517269e-18	9.36853230072441e-15	31.1283814569988	ENSG00000176890
-1.49413121966635	8.82332632511373	-43.5519137166994	1.0776367534069e-17	1.03112821983881e-14	30.9778894395183	ENSG00000163468
2.72695091895596	5.64081062077589	45.087544605881	6.30727493927599e-18	7.16664114975235e-15	30.9038567458572	ENSG00000228709
3.7406630546746	5.29591315812167	47.3082350733716	2.99839798564898e-18	4.95553412537259e-15	30.7372179789553	ENSG00000286122
-1.68171657478083	7.15775614188059	-42.8187428045675	1.40088881292246e-17	1.27340793094651e-14	30.6780772784857	ENSG00000171490
-1.49028626869487	7.93796999028473	-41.8247289659949	2.01360003767558e-17	1.66396584931555e-14	30.3503528585771	ENSG00000103257
-2.250645642475	5.81277931264969	-42.391359371254	1.63570937019242e-17	1.4160569690523e-14	30.2617989383821	ENSG00000133119
-1.29551733999492	9.84197131686658	-41.3177767662197	2.43085133877992e-17	1.92142944952256e-14	30.159442698228	ENSG00000211751
-1.31473924770612	9.01640353987029	-40.8862208236662	2.85865108536593e-17	2.16542819716469e-14	30.0018195366653	ENSG00000026025
-1.60833363817886	7.5533561418319	-40.6158743484564	3.16692393080715e-17	2.19455411871001e-14	29.8953122221777	ENSG00000105887
1.74160243762299	6.86729976201022	40.5707238714447	3.22176579424418e-17	2.19455411871001e-14	29.8461305824277	ENSG00000163346
1.73060587042213	6.64933075386718	40.5403405591599	3.25923879016338e-17	2.19455411871001e-14	29.8172370666138	ENSG00000213722
1.46284616357934	9.02967696747467	40.2390612039516	3.6569350482902e-17	2.37439568492557e-14	29.7544465934523	ENSG00000136286
1.3824637384686	8.02100736858144	39.5538423799925	4.76672913935817e-17	2.91041828443077e-14	29.4933842912841	ENSG00000111276
-1.85602658867718	6.69504224994469	-39.5345894406619	4.8026704363544e-17	2.91041828443077e-14	29.4457731153188	ENSG00000074201
-1.35547570532876	8.89428562108339	-39.0605569700704	5.78496510886386e-17	3.28658330247328e-14	29.2932358814838	ENSG00000137309
2.01710056598684	6.24384121479617	39.1803773458487	5.51800410090526e-17	3.23604240498251e-14	29.2512054407217	ENSG00000165434
-1.2676831639607	9.37472244683493	-38.9469610736434	6.05077005655908e-17	3.33342423115891e-14	29.2423852839678	ENSG00000198830
-1.17984136070188	10.344435970463	-37.8494931995899	9.4021134511429e-17	5.02736536887582e-14	28.782937240361	ENSG00000135486
-1.14656992870831	10.3929716121154	-37.603545282984	1.03960444348674e-16	5.40000250931115e-14	28.6799227246814	ENSG00000096384
1.09373708245181	13.569182234612	37.4540280429463	1.10544291904675e-16	5.58248674118607e-14	28.5854052815382	ENSG00000210082
1.19895930000622	9.46374900480091	37.1530521875991	1.25180474621719e-16	6.15075953681852e-14	28.5039307694906	ENSG00000105220
-1.53907194471424	6.6537717328117	-37.0102775112487	1.3283202184818e-16	6.3549635715787e-14	28.4549997025336	ENSG00000105011
-1.81469274819179	6.32507253068351	-36.6688307767062	1.53221428208719e-16	7.14247580726796e-14	28.289694993504	ENSG00000162613
-1.63306185382178	6.34115800366673	-36.5587655920882	1.60483743337006e-16	7.29398613466691e-14	28.2500968011544	ENSG00000158488
1.5179031302724	6.98081010673659	35.8910265428882	2.1317055850608e-16	9.2272398896203e-14	27.9959518108403	ENSG00000111110
-2.4259200978844	5.73502090571716	-36.1884420191797	1.87730827211926e-16	8.32425960661662e-14	27.965396687232	ENSG00000176340
-1.39279689298849	7.81647928147254	-35.7296463879116	2.28487302271974e-16	9.48518810624464e-14	27.9219084279447	ENSG00000124767
-1.32021090684017	7.919047587339	-35.6625674905928	2.35194415538461e-16	9.48518810624464e-14	27.8907701084315	ENSG00000004478
-1.42977571975675	7.03453748780885	-35.6157524047761	2.39999259013891e-16	9.48518810624464e-14	27.8789122529868	ENSG00000168496
-1.26622747300812	7.64445935343461	-35.3148247106968	2.734872861627e-16	1.00876544457025e-13	27.7431352380252	ENSG00000135776
-1.62396143982266	6.41021615351075	-35.3243725127605	2.72351683469544e-16	1.00876544457025e-13	27.737418893254	ENSG00000136485
1.99968383312888	5.70860516992326	35.5443019507169	2.47534857580733e-16	9.57485895918667e-14	27.7258655851177	ENSG00000071575
1.23417496004216	8.15401093573961	35.2819317803619	2.77438241080926e-16	1.00876544457025e-13	27.7196246775379	ENSG00000064666
-1.19803088403809	8.00375441982903	-35.0274703577699	3.10133102052054e-16	1.08427303755891e-13	27.6091489818429	ENSG00000170312
-1.60893958402331	6.67689619894656	-34.8512983786809	3.35155147772646e-16	1.14964539368051e-13	27.5421838409402	ENSG00000149923
-2.03723215565073	5.35872990402908	-35.0987928660004	3.00574927335289e-16	1.07146121155991e-13	27.4561626811516	ENSG00000151353
1.56508496960598	6.64400907581745	34.5717843382392	3.79361616213856e-16	1.24682936977832e-13	27.4183387257962	ENSG00000125753
-1.4685607232945	8.10787858120822	-34.5441239894096	3.8406185207693e-16	1.24682936977832e-13	27.3912197315865	ENSG00000142168
-1.31867556683878	7.98605213203005	-34.1659431990251	4.54924915875591e-16	1.45097104747689e-13	27.2217484603972	ENSG00000125944
1.37899618483257	6.78388447872772	33.8532060837459	5.24028222265181e-16	1.60808901931455e-13	27.0994174837755	ENSG00000167470
1.36501508491925	7.64368898699914	33.8252707973588	5.30722448618665e-16	1.60808901931455e-13	27.0750827282563	ENSG00000118402
1.0783709663068	9.70271771373607	33.8290008320928	5.29823371603863e-16	1.60808901931455e-13	27.0260660415121	ENSG00000108828
-1.37134788827129	7.31382017019835	-33.5870866255632	5.91632473404525e-16	1.76325874860562e-13	26.9719588734198	ENSG00000075785
-1.50110225957384	6.27504078088449	-33.5162977595154	6.11136493341916e-16	1.79200991112194e-13	26.9375303932326	ENSG00000108349
3.24784543552306	4.6850877838281	35.6849773920733	2.3293068850484e-16	9.48518810624464e-14	26.9107093060409	ENSG00000167768
-1.34506031166464	7.14464230820418	-33.3521098187666	6.5905509677843e-16	1.90184470784633e-13	26.8663403862066	ENSG00000155926
-1.30667362256651	7.11833588695069	-33.1795567957187	7.13748698428809e-16	2.02749239647434e-13	26.7864273678518	ENSG00000136997
-1.26698313977284	7.26948663310533	-33.1018616314747	7.39933225653144e-16	2.06953631421141e-13	26.7468387331969	ENSG00000146670
-1.51478239810921	6.50149550970984	-33.0287409415787	7.65510514818056e-16	2.10863350899883e-13	26.7200129593185	ENSG00000163597
-1.32264567458446	6.94092470716812	-32.9358868886247	7.99353108241866e-16	2.16899097131897e-13	26.6755155776619	ENSG00000119333
-3.02487346925551	4.70397342383841	-34.5858685061625	3.76991876275127e-16	1.24682936977832e-13	26.6587671782982	ENSG00000078081
-1.4454726200061	6.50660001911409	-32.7837905064698	8.58271246896467e-16	2.25054704616395e-13	26.6064529848375	ENSG00000158195
1.11718103704319	8.37296491972463	32.8086664091586	8.48327488075933e-16	2.25054704616395e-13	26.5771635081484	ENSG00000081237
-1.20632424915782	8.14249757308615	-32.7250640379577	8.82241237302551e-16	2.25903460481132e-13	26.5435280784485	ENSG00000101361
-1.45289017794621	6.34510773298082	-32.589519947885	9.40325246417343e-16	2.37432124720379e-13	26.5135805676329	ENSG00000165704
-1.07695287281831	8.38413824164502	-32.5553234369417	9.55612696675846e-16	2.37986833226944e-13	26.4545099906265	ENSG00000134824
-0.998881724979388	11.1719621985363	-32.4614764747006	9.98940479355845e-16	2.45415377225531e-13	26.3473987980244	ENSG00000123416
-1.17079769149818	7.448384055007	-32.2550719179466	1.10175667876461e-15	2.63452422655805e-13	26.3387377583736	ENSG00000168003
