logFC	AveExpr	t	P.Value	adj.P.Val	B	gene
-7.36236269145064	-2.11354025111539	-12.099955490961	2.5025888723659e-09	2.42134463542374e-08	6.41415935534254	ENSG00000298932
-6.22543374481186	-0.703626443246613	-10.5092453749522	1.79179583805455e-08	1.34052873810007e-07	5.71941032942168	ENSG00000244734
-5.97264856432116	-2.79128541413091	-9.8995024294287	4.05364537169201e-08	2.72642518895156e-07	5.05550349516834	ENSG00000289094
-5.35710208405781	-3.10981743060495	-8.57243773356423	2.74496403186601e-07	1.46904463053647e-06	4.01667600815717	ENSG00000294455
-5.27328615769803	-3.11870511875692	-8.23018905837276	4.64562989532961e-07	2.33243721339664e-06	3.75623396508046	ENSG00000188536
-5.18363831317061	-1.22296082383204	-8.65743548186479	2.41398182281271e-07	1.31356448784002e-06	4.41192202825116	ENSG00000274943
-5.08553192450993	-1.65352532002676	-7.09091813973057	2.97808817093063e-06	1.21776075005665e-05	2.99424873005814	ENSG00000249014
-4.80357035067716	-2.585592544751	-7.33288341901684	1.97883436896153e-06	8.45480818512823e-06	3.06600843724096	ENSG00000268798
-4.55914639297156	-3.50605805578524	-6.97506410440003	3.63201773153961e-06	1.45472752499207e-05	2.47924181014483	ENSG00000296342
-4.53567248604615	-1.47174401195487	-5.70371086941601	3.61824193524987e-05	0.000113256953138503	1.4438536310348	ENSG00000153446
