READ1	READ2	READ3	READ4
0	0	0	0
0	0	0	0
0	0	0	0
3	3	2	0
0	1	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
3	4	7	2
0	0	0	0
531	864	629	575
0	0	0	0
0	1	0	0
0	0	0	0
0	1	0	0
0	0	0	0
0	0	0	0
94	142	70	44
0	1	1	0
0	0	0	0
1	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
10	27	2	4
0	0	0	0
263	318	156	216
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
1227	1883	1308	1235
0	0	1	3
0	0	0	0
0	0	0	0
1	0	0	0
0	0	2	1
0	0	0	0
0	0	0	0
0	0	0	0
12	13	10	11
32	52	89	81
0	3	2	4
0	0	0	0
0	0	0	0
2	7	39	15
2	1	2	1
0	0	0	0
3	2	0	0
0	0	0	0
0	0	0	0
0	0	0	0
7	14	7	8
0	0	0	0
16	41	7	14
1	0	0	0
1	7	7	4
0	0	0	0
0	0	0	0
1207	1958	1772	1661
4	2	1	2
0	0	0	1
0	0	0	0
1	1	1	1
0	0	0	0
1	1	0	1
0	0	0	0
3	13	17	14
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	2	2
0	0	0	0
0	0	0	0
0	0	1	1
0	0	0	0
1	0	0	1
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
